directory_name,git_describe,git_current_tag,git_current_commit,github_url
@serialport-stream@10.3.0,v10.3.0,v10.3.0,ceba41c8f89d911de210f2513aaae85fff3ab457,https://github.com/serialport/node-serialport
react@15.4.2,v15.4.2,v15.4.2,03464f06d2efd1f736e04f3b5648eabe07c69904,https://github.com/facebook/react
node-gyp@10.2.0,v10.2.0,v10.2.0,08c91d08adfcf1f24e7ff3e14b454da27bb6be25,https://github.com/nodejs/node-gyp
node-window-manager@2.2.3,v2.2.0-11-g2c0329c,,2c0329cc5e584aee244240c492e948ef8c5fb3bb,https://github.com/sentialx/node-window-manager
@cspell-dict-makefile@1.0.4,@cspell/dict-cspell-bundle@2.0.4,@cspell/dict-cspell-bundle@2.0.4,8fa16dbdc0421ae65170dfc5fa9f465d9d0c66af,https://github.com/streetsidesoftware/cspell-dicts
cspell-gitignore@8.19.3,v8.19.3,v8.19.3,cb6946b709da590d0c6175f9962799d18aa43e93,https://github.com/streetsidesoftware/cspell
jscpd@3.3.26,v3.3.26,v3.3.26,f7fcedcd93b38c066f75ee239cb706f726b16652,https://github.com/kucherenko/jscpd
tree-sitter-rust@0.20.1,v0.20.1,v0.20.1,a250c4582510ff34767ec3b7dcdd3c24e8c8aa68,https://github.com/tree-sitter/tree-sitter-rust
@serialport-parser-inter-byte-timeout@10.3.0,v10.3.0,v10.3.0,ceba41c8f89d911de210f2513aaae85fff3ab457,https://github.com/serialport/node-serialport
cjs-module-lexer@1.2.2,1.2.2,1.2.2,a96e7b52b99d39fee25d69f356905161d14a15ed,https://github.com/nodejs/cjs-module-lexer
@azure-msal-browser@4.7.0,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
expo-asset@latest,8325a59be5,,8325a59be5e5ec94c11521311e08f4cef82c5670,https://github.com/expo/expo
@tootallnate-quickjs-emscripten@latest,v0.31.0-3-gaa48b61,,aa48b619983f02c5691d989c0771a3421178ce4b,https://github.com/justjake/quickjs-emscripten
@react-native-js-polyfills@0.75.0,v0.75.0,v0.75.0,89cdc14c8bcccb8506cee82056dca6febb1a7281,
canvas@2.11.2,v2.11.2,v2.11.2,38e0a3285a6e005e02a6505f3fc2809d0484e43b,https://github.com/Automattic/node-canvas
@aws-amplify-cache@5.1.19,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
react@15.6.2,v15.6.2,v15.6.2,ffbc2db0e7860ee1a96511578235dec7eaccc8d3,https://github.com/facebook/react
@azure-msal-common@15.1.1,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
antlr4@4.7.1,4.7.1,4.7.1,bdc05c87be2ad981744223df0fd745e8345baba9,https://github.com/antlr/antlr4
@cspell-url@8.19.3,v8.19.3,v8.19.3,cb6946b709da590d0c6175f9962799d18aa43e93,https://github.com/streetsidesoftware/cspell
uuid@2.0.1,v2.0.1,v2.0.1,ddaf90942095f26ee8c1961b4346f093b3e7eb5b,https://github.com/shtylman/node-uuid
fb-watchman@2.0.1,v2025.05.26.00-5-g2a61e8109,,2a61e8109ca9e74f4b663a8f0c64bb88bf69a9c6,https://github.com/facebook/watchman
nan@2.22.2,v2.22.2,v2.22.2,3bf886345aa9be3ae2ee73068906de1a6f2c51a3,https://github.com/nodejs/nan
use-sync-external-store@1.5.0,v19.1.0-263-g5717f1933f,,5717f1933f2e8b10406fde1043c3047cbfbddc82,https://github.com/facebook/react
react-dom@15.4.2,v15.4.2,v15.4.2,03464f06d2efd1f736e04f3b5648eabe07c69904,https://github.com/facebook/react
@webassemblyjs-helper-fsm@1.7.6,v1.7.6,v1.7.6,4c7ceb48896fc23cdee62bd8f87d24c4b69c90c9,https://github.com/xtuc/webassemblyjs
scheduler@0.23.0,v19.1.0-261-g283f87f083,,283f87f083f285c060582e1096cebed794d4b748,https://github.com/facebook/react
filament@1.53.1,v1.53.1,v1.53.1,7fc8e339e704e50dba191bf230f838170e0fb00f,https://github.com/google/filament
react-is@16.13.1,v16.13.1,v16.13.1,da834083cccb6ef942f701c6b6cecc78213196a8,https://github.com/facebook/react
@serialport-parser-cctalk@12.0.0,v12.0.0,v12.0.0,f7e7bd53f9578a26c4f44cc1949fef396dc064c7,https://github.com/serialport/node-serialport
cdt-gdb-adapter@0.0.19,v0.0.19,v0.0.19,2d2ae961827e621d571f18c2f5772065981502ae,https://github.com/eclipse-cdt-cloud/cdt-gdb-adapter
@aws-amplify-api-graphql@3.4.19,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
bser@2.1.1,v2025.05.26.00-4-g690dd889f,,690dd889feb0e270c120c13c2ff3ef2cee84563a,https://github.com/facebook/watchman
kerberos@2.1.0,v2.1.0,v2.1.0,446e040db3ce15e01e35c43ecdbd7382ab35f308,https://github.com/mongodb-js/kerberos
@azure-msal-browser@3.18.0,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
antlr4-c3@1.1.16,1.1.16,1.1.16,aed460d30b1587ecc95e63a2fe1e586b01810fa5,https://github.com/mike-lischke/antlr4-c3
antlr4@4.13.2,4.13.2,4.13.2,cc82115a4e7f53d71d9d905caa2c2dfa4da58899,https://github.com/antlr/antlr4
@msgpackr-extract-msgpackr-extract-darwin-x64@latest,v3.0.3,v3.0.3,db8f5b97e7aaab0bcad95f10582915d417153689,
@webassemblyjs-helper-code-frame@1.7.6,v1.7.6,v1.7.6,4c7ceb48896fc23cdee62bd8f87d24c4b69c90c9,https://github.com/xtuc/webassemblyjs
@aws-amplify-pubsub@5.5.13,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
cpu-features@0.0.10,v0.0.10,v0.0.10,3fc76509be992e460878aad775ffbde5cfe1da36,https://github.com/mscdex/cpu-features
@cucumber-gherkin@28.0.0,go/v28.0.0,go/v28.0.0,858cb390669d2e91caa0361e31f46aa45f5f936c,https://github.com/cucumber/gherkin
react-devtools-core@4.28.5,v19.1.0-263-g5717f1933f,,5717f1933f2e8b10406fde1043c3047cbfbddc82,https://github.com/facebook/react
@napi-rs-canvas-linux-arm64-musl@latest,skia-5b8860c3-4-g05627f3,,05627f34909bd82e227c18309edabe6c085020ca,
es-module-lexer@latest,1.7.0,1.7.0,dceaab846b11fbd77b39056088a734d9f774b070,https://github.com/guybedford/es-module-lexer
secp256k1@4.0.3,v4.0.3,v4.0.3,f73cd3a2b95ec6f549a2feabfbf2b8f17b30dcc7,https://github.com/cryptocoinjs/secp256k1-node
zeromq@6.1.0,v6.1.0,v6.1.0,b28a42b0be543e6eb17843a5cdda8a07ef192707,https://github.com/zeromq/zeromq.js
